Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato_x,Anios_de_contrato_y,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
SF,6.3,2018,2021,3,3,1,54,2916,0,5,2,19,361,19,361,5.142857142857143,26.44897959183674,0.21212121212121213,0.044995408631772274,1.0909090909090908,1.190082644628099,2.59,6.708099999999999,33,32,San Francisco Giants,LAD,California,15807000,66.0,4356.0,72,162,0,Tony Watson,6,36,3000000,23,218.0,26,0.4444444444444444,RP,0.4506172839506173,0,0,UFA,72,5184,3000000,3000000,0.015,3000000,74.29,5519.004100000001,9000000,3000000,11500000,9000000,3000000,73,2.0,4.0,1.03,1.0609,8,14,196,4,16,14.914122846632385,14.914122846632385,14.914122846632385
HOU,6.3,2018,2020,2,2,1,58,3364,0,2,2,22,484,21,441,3.35,11.2225,0.3389830508474576,0.11490950876185003,1.1355932203389831,1.2895719620798622,3.2,10.240000000000002,30,29,Houston Astros,CHC,Texas,15548000,59.0,3481.0,63,162,0,Hector Rondon,5,25,4000000,2,230.0,12,0.3888888888888889,RP,0.6358024691358025,15,225,UFA,67,4489,4000000,4000000,0.025,4000000,49.11,2411.7921,8500000,4250000,23500000,8500000,4250000,103,0.84,0.7055999999999999,1.32,1.7424000000000002,1,20,400,2,4,15.201804919084164,15.201804919084164,15.201804919084164
CHC,6.0,2018,2020,2,2,1,42,1764,0,2,7,33,1089,32,1024,0.8275862068965517,0.6848989298454221,0.7692307692307692,0.5917159763313609,0.636604774535809,0.4052656389617882,7.65,58.52250000000001,35,34,Chicago Cubs,CHC,Illinois,13802500,37.7,1421.2900000000002,49,163,0,Brian Duensing,0,0,3500000,17,200.0,20,0.3006134969325153,RP,0.5828220858895705,1,1,UFA,24,576,3500000,3500000,0.018,3500000,0.7,0.48999999999999994,7000000,3500000,215545000,7000000,3500000,95,1.1998090692124097,1.439541802564349,1.88,3.5343999999999998,3,29,841,3,9,15.068273526459642,15.068273526459642,15.068273526459642
OAK,6.2,2018,0,1,1,1,166,27556,0,5,3,71,5041,68,4624,3.7567567567567566,14.113221329437545,0.21511627906976744,0.04627501352082206,0.8081395348837209,0.6530895078420768,3.56,12.6736,33,32,Oakland Athletics,HOU,California,12569124,172.0,29584.0,31,162,30,Michael Fiers,8,64,1806448,15,211.0,27,0.19135802469135801,SP,0.5987654320987654,0,0,UFA,139,19321,1806448,6000000,0.023,6000000,60.63,3675.9969,6000000,6000000,18000000,6000000,6000000,97,3.45,11.902500000000002,1.18,1.3923999999999999,9,37,1369,12,144,14.406873044212277,15.60727002719233,15.60727002719233
MIL,6.1,2018,2020,2,2,1,45,2025,0,1,5,29,841,28,784,2.6666666666666665,7.111111111111111,0.34985422740524785,0.12239798043332288,0.9329446064139942,0.8703856386369626,7.34,53.8756,35,34,Milwaukee Brewers,WSH,Wisconsin,16342000,34.3,1176.4899999999998,34,163,0,Matt Albers,3,9,2500000,1,225.0,5,0.2085889570552147,RP,0.588957055214724,1,1,UFA,32,1024,2500000,2500000,0.023,2500000,0.0,0.0,5000000,2500000,103750000,5000000,2500000,96,1.1998090692124097,1.439541802564349,1.66,2.7556,0,12,144,3,9,14.73180128983843,14.73180128983843,14.73180128983843
CIN,5.858590733590735,2018,2020,2,2,1,46,2116,0,2,3,20,400,18,324,3.823529411764706,14.619377162629759,0.265625,0.070556640625,1.015625,1.031494140625,2.53,6.400899999999999,33,32,Cincinnati Reds,ARI,Ohio,14925000,64.0,4096.0,57,162,0,David Hernandez,2,4,2800000,10,245.0,15,0.35185185185185186,RP,0.4135802469135802,0,0,UFA,65,4225,2800000,2500000,0.028,2800000,75.49,5698.740099999999,5000000,2500000,10250000,5000000,2500000,67,1.85,3.4225000000000003,0.98,0.9603999999999999,5,17,289,5,25,14.845129975145433,14.73180128983843,14.845129975145433
CHW,6.1,2018,2019,1,1,1,24,576,0,2,2,18,324,17,289,0.8333333333333334,0.6944444444444445,0.4878048780487805,0.23795359904818558,0.4065040650406504,0.16524555489457332,12.41,154.0081,34,33,Chicago White Sox,TEX,Illinois,17034975,12.3,151.29000000000002,3,162,3,Miguel Gonzalez,3,9,4750000,6,170.0,9,0.018518518518518517,SP,0.382716049382716,0,0,UFA,5,25,4750000,4750000,0.066,4750000,0.0,0.0,4750000,4750000,19750000,4750000,4750000,62,1.1998090692124097,1.439541802564349,2.43,5.9049000000000005,3,6,36,0,0,15.373655176010823,15.373655176010823,15.373655176010823
CIN,5.858590733590735,2018,2021,2,2,0,57,3249,0,2,3,17,289,17,289,2.5652173913043477,6.580340264650283,0.29224904701397714,0.08540950548057782,0.749682337992376,0.5620236078977151,1.95,3.8024999999999998,32,32,Cincinnati Reds,MIL,Ohio,9495236,78.7,6193.6900000000005,72,162,0,Jared Hughes,3,9,2875000,10,240.0,15,0.4444444444444444,RP,0.4135802469135802,7,49,UFA,59,3481,2875000,2125000,0.029,2875000,96.68,9347.022400000002,4500000,2250000,10250000,4500000,2250000,67,3.39,11.4921,1.02,1.0404,5,23,529,4,16,14.871563232213587,14.569282360340654,14.871563232213587
OAK,5.858590733590735,2018,2020,1,1,1,62,3844,0,5,3,27,729,24,576,2.1875,4.78515625,0.4976671850699845,0.24767262709548218,1.088646967340591,1.1851522194998658,3.36,11.289599999999998,41,40,Oakland Athletics,ARI,California,51519352,64.3,4134.49,68,162,0,Fernando Rodney,3,9,4250000,15,240.0,27,0.41975308641975306,RP,0.5987654320987654,25,625,UFA,70,4900,1188148,4250000,0.015,5900000,53.45,2856.9025,4500000,4500000,18000000,4500000,4500000,97,0.69,0.4760999999999999,1.46,2.1315999999999997,9,32,1024,4,16,13.987906350269972,15.2624295409006,15.590462908875947
SD,6.2,2018,0,2,2,1,65,4225,0,5,3,25,625,24,576,5.176470588235294,26.795847750865054,0.21518987341772153,0.04630668162153501,1.1139240506329113,1.2408267905784327,2.73,7.4529,34,33,San Diego Padres,SD,California,11158482,79.0,6241.0,73,162,0,Craig Stammen,3,9,3250000,2,228.0,5,0.4506172839506173,RP,0.4074074074074074,0,0,UFA,88,7744,3250000,2250000,0.031,3250000,81.87,6702.696900000001,4500000,2250000,149500000,4500000,2250000,66,1.78,3.1684,1.04,1.0816000000000001,0,17,289,8,64,14.994165554305921,14.626440774180603,14.994165554305921
DET,6.3,2018,2019,1,1,0,127,16129,0,1,3,84,7056,68,4624,1.5068493150684932,2.270594858322387,0.5459985041136874,0.2981143664943844,0.8227374719521318,0.6768969477541847,4.58,20.9764,34,34,Detroit Tigers,HOU,Michigan,63293000,133.7,17875.69,27,162,26,Francisco Liriano,12,144,4000000,11,218.0,16,0.16666666666666666,SP,0.3950617283950617,0,0,UFA,110,12100,4000000,4000000,0.031,4000000,22.68,514.3824,4000000,4000000,11750000,4000000,4000000,64,0.3,0.09,1.5,2.25,4,73,5329,5,25,15.201804919084164,15.201804919084164,15.201804919084164
TEX,6.8,2018,2020,1,1,1,73,5329,0,2,4,40,1600,33,1089,2.1052631578947367,4.432132963988919,0.2878787878787879,0.08287419651056016,0.6060606060606061,0.36730945821854916,4.5,20.25,34,33,Texas Rangers,BOS,Texas,40700500,66.0,4356.0,12,162,12,Doug Fister,7,49,3500000,2,210.0,8,0.07407407407407407,SP,0.4135802469135802,0,0,UFA,40,1600,3500000,3500000,0.025,3500000,0.0,0.0,4000000,4000000,35000000,4000000,4000000,67,0.91,0.8281000000000001,1.39,1.9320999999999997,0,19,361,1,1,15.068273526459642,15.068273526459642,15.068273526459642
TB,6.3,2018,2019,1,1,0,0,0,0,2,2,3,9,3,9,0.0,0.0,13.333333333333334,177.7777777777778,0.0,0.0,81.0,6561.0,32,32,Tampa Bay Rays,TEX,Florida,50210920,0.3,0.09,118,162,97,Carlos Gomez,0,0,4400000,1,220.0,4,0.7283950617283951,RF,0.5555555555555556,0,0,UFA,0,0,4400000,4000000,0.064,4400000,20.15,406.0224999999999,4000000,4000000,6500000,4000000,4000000,90,0.73,0.5328999999999999,12.0,144.0,0,4,16,0,0,15.29711509888849,15.201804919084164,15.29711509888849
STL,5.858590733590735,2018,2019,1,1,1,51,2601,0,2,3,27,729,23,529,3.1904761904761907,10.179138321995467,0.36395147313691506,0.1324606747985306,1.1611785095320624,1.3483355309991019,3.59,12.8881,33,32,St. Louis Cardinals,LAA,Missouri,28210419,57.7,3329.2900000000004,64,162,0,Bud Norris,6,36,3000000,23,215.0,28,0.3950617283950617,RP,0.5432098765432098,28,784,UFA,67,4489,3000000,3000000,0.018,3000000,53.0,2809.0,3000000,3000000,28000000,3000000,3000000,88,0.26,0.06760000000000001,1.25,1.5625,11,21,441,3,9,14.914122846632385,14.914122846632385,14.914122846632385
ATL,6.0,2018,2019,1,1,1,106,11236,0,1,4,48,2304,43,1849,3.2142857142857144,10.331632653061225,0.30724213606437456,0.09439773017339965,0.9875640087783468,0.9752826714343587,2.83,8.0089,34,33,Atlanta Braves,DET,Georgia,95390927,136.7,18686.889999999996,25,162,24,Anibal Sanchez,6,36,1000000,18,205.0,24,0.15432098765432098,SP,0.5555555555555556,0,0,UFA,135,18225,1000000,1000000,0.008,1000000,84.95,7216.5025000000005,2500000,1000000,2900000,1000000,2500000,90,3.27,10.6929,1.08,1.1664,3,42,1764,7,49,13.815510557964274,13.815510557964274,13.815510557964274
NYM,5.858590733590735,2018,2019,1,1,1,5,25,0,2,8,6,36,6,36,0.0,0.0,2.0,4.0,0.0,0.0,54.0,2916.0,35,34,New York Mets,NYM,New York,137866423,1.0,1.0,110,162,48,Jose Reyes,0,0,2000000,5,195.0,9,0.6790123456790124,3B,0.4753086419753086,0,0,UFA,0,0,2000000,2000000,0.013,2000000,4.53,20.5209,2000000,2000000,89635000,2000000,2000000,77,1.1998090692124097,1.439541802564349,7.0,49.0,2,2,4,0,0,14.508657738524219,14.508657738524219,14.508657738524219
KC,6.1,2018,2020,1,1,1,28,784,0,2,6,14,196,14,196,1.5217391304347827,2.3156899810964084,0.6705539358600584,0.4496425808974153,1.0204081632653061,1.0412328196584757,3.67,13.4689,29,28,Kansas City Royals,MIL,Missouri,11035500,34.3,1176.4899999999998,37,162,0,Wily Peralta,0,0,1500000,4,255.0,9,0.22839506172839505,RP,0.4938271604938271,14,196,UFA,35,1225,1500000,1500000,0.012,1500000,0.0,0.0,1525000,1525000,16775000,1525000,1525000,80,0.61,0.3721,1.49,2.2201,2,23,529,1,1,14.22097566607244,14.22097566607244,14.22097566607244
ARI,6.3,2018,2019,1,1,0,80,6400,0,1,2,25,625,22,484,3.6818181818181817,13.555785123966942,0.22380467955239064,0.05008853458954826,0.8240081383519837,0.678989412070302,2.01,4.040099999999999,33,33,Arizona Diamondbacks,PHI,Arizona,60029511,98.3,9662.89,17,162,17,Clay Buchholz,2,4,1080645,1,190.0,6,0.10493827160493827,SP,0.5061728395061729,0,0,UFA,81,6561,1080645,1500000,0.008,1500000,93.12,8671.334400000002,1500000,1500000,15750000,1500000,1500000,82,2.79,7.7841000000000005,1.04,1.0816000000000001,1,22,484,7,49,13.893068643056406,14.22097566607244,14.22097566607244
TEX,5.858590733590735,2018,2019,1,1,0,19,361,0,2,4,11,121,7,49,5.2,27.040000000000003,0.19011406844106463,0.036143359019213804,0.9885931558935361,0.9773164278795414,2.39,5.7121,34,34,Texas Rangers,TEX,Texas,5010000,26.3,691.69,22,162,0,Tony Barnette,0,0,1500000,2,190.0,8,0.13580246913580246,RP,0.4135802469135802,0,0,UFA,26,676,1500000,1500000,0.011,1500000,0.0,0.0,1500000,1500000,35000000,1500000,1500000,67,0.46,0.2116,0.91,0.8281000000000001,0,5,25,2,4,14.22097566607244,14.22097566607244,14.22097566607244
CHC,6.2,2018,0,1,1,0,84,7056,0,2,7,28,784,27,729,5.411764705882353,29.287197231833915,0.1783840503672613,0.03182086942542962,0.9653725078698846,0.9319440789509904,2.55,6.5024999999999995,34,34,Chicago Cubs,LAA,Illinois,16142094,95.3,9082.09,63,163,0,Jesse Chavez,3,9,397824,17,175.0,20,0.38650306748466257,RP,0.5828220858895705,5,25,UFA,92,8464,397824,1000000,0.002,1500000,83.9,7039.210000000001,1500000,1500000,215545000,1500000,1500000,95,1.22,1.4884,1.06,1.1236000000000002,3,17,289,5,25,12.893764975407155,13.815510557964274,14.22097566607244
OAK,6.4,2018,2019,1,1,1,90,8100,0,5,3,52,2704,46,2116,2.4390243902439024,5.94883997620464,0.37272727272727274,0.13892561983471075,0.9090909090909091,0.8264462809917354,3.76,14.137599999999999,30,29,Oakland Athletics,KC,California,39461516,110.0,12100.0,21,162,20,Trevor Cahill,4,16,1500000,15,230.0,27,0.12962962962962962,SP,0.5987654320987654,0,0,UFA,100,10000,1500000,1500000,0.019,1500000,69.84,4877.6256,1500000,1500000,18000000,1500000,1500000,97,1.41,1.9880999999999998,1.19,1.4161,9,41,1681,7,49,14.22097566607244,14.22097566607244,14.22097566607244
SEA,6.3,2018,2019,1,1,0,19,361,0,1,3,20,400,20,400,0.7857142857142857,0.6173469387755102,0.8092485549132947,0.6548832236292558,0.6358381502890174,0.40429015336295904,10.39,107.95210000000002,29,29,Seattle Mariners,CHC,Washington,7611682,17.3,299.29,21,162,0,Justin Grimm,3,9,87900,0,210.0,4,0.12962962962962962,RP,0.5493827160493827,0,0,UFA,11,121,87900,545000,0.001,545000,0.0,0.0,1250000,545000,17750000,545000,1250000,89,1.1998090692124097,1.439541802564349,1.9,3.61,0,14,196,1,1,11.383955083673268,13.208541073645382,13.208541073645382
MIL,6.5,2018,0,1,1,0,83,6889,0,1,5,42,1764,40,1600,3.0,9.0,0.31927023945267957,0.10193348580017135,0.9578107183580388,0.9174013722015423,4.11,16.892100000000003,27,27,Milwaukee Brewers,SD,Wisconsin,12195929,87.7,7691.290000000001,37,163,9,Jordan Lyles,4,16,229824,1,230.0,5,0.22699386503067484,SP,0.588957055214724,0,0,UFA,84,7056,229824,750000,0.002,750000,28.5,812.25,1000000,1000000,103750000,1000000,1000000,96,0.35,0.12249999999999998,1.27,1.6129,0,28,784,3,9,12.345069077585755,13.527828485512494,13.527828485512494
TEX,6.2,2018,2019,1,1,1,107,11449,0,2,4,68,4624,67,4489,1.2340425531914894,1.5228610230873698,0.4984093319194062,0.2484118621443488,0.6150583244962885,0.3782967425321817,6.39,40.8321,32,31,Texas Rangers,MIL,Texas,72112785,94.3,8892.49,21,162,18,Yovani Gallardo,8,64,1439785,2,205.0,8,0.12962962962962962,SP,0.4135802469135802,0,0,UFA,58,3364,1139785,2000000,0.008,2300000,11.95,142.80249999999998,750000,2000000,35000000,2000000,750000,67,1.1998090692124097,1.439541802564349,1.63,2.6569,0,47,2209,8,64,13.946350206092896,14.508657738524219,14.648419680899378
MIL,6.3,2018,2019,1,1,1,66,4356,0,1,5,27,729,23,529,1.9565217391304348,3.827977315689981,0.35769828926905134,0.12794806614600593,0.6998444790046656,0.48978229479331187,3.22,10.368400000000001,31,30,Milwaukee Brewers,TB,Wisconsin,5041474,64.3,4134.49,73,163,1,Dan Jennings,5,25,750000,1,210.0,5,0.44785276073619634,RP,0.588957055214724,1,1,UFA,45,2025,750000,750000,0.007,750000,40.02,1601.6004000000003,750000,750000,103750000,750000,750000,96,0.24,0.0576,1.38,1.9043999999999996,0,23,529,4,16,13.527828485512494,13.527828485512494,13.527828485512494
ATL,6.2,2018,2019,1,1,0,32,1024,0,1,4,14,196,14,196,1.2777777777777777,1.6327160493827158,0.6360424028268551,0.4045499381937594,0.8127208480565371,0.6605151768657369,4.45,19.802500000000002,39,39,Atlanta Braves,KC,Georgia,6547731,28.3,800.89,39,162,0,Peter Moylan,1,1,575000,18,220.0,24,0.24074074074074073,RP,0.5555555555555556,0,0,UFA,23,529,575000,575000,0.004,575000,0.0,0.0,575000,575000,2900000,575000,575000,90,1.1998090692124097,1.439541802564349,1.76,3.0976,3,18,324,0,0,13.262125319779487,13.262125319779487,13.262125319779487
